"","name","bud","donor","profit","grant1","sofin1"
"10592","Межрегиональная общественная организация инвалидов - общество социальной поддержки слепоглухих """"""""Эльвира""""""""",999,999,999,3881139,2060400
"10655","Межрегиональная общественная организация «Детское медийное объединение «Бумеранг»",999,999,999,4100000,1200000
"10658","Общероссийская общественная организация """"""""Российкая ассоциация защиты религиозной свободы"""""""" (РАРС)",999,999,999,8192000,245000
"10666","Региональный общественный гуманитарный фонд содействия изучению жизни и творчества Ф.М.Достоевского",999,999,999,8233115,0
"10702","Межрегиональная общественная организация """"""""Российское молодежное политехническое общество""""""""",999,999,999,6520964.4,3e+05
"10711","Всероссийская общественная организация ветеранов """"""""БОЕВОЕ БРАТСТВО""""""""",151256,135704,11892,19960960,14285880
"10712","Всероссийская общественная организация ветеранов """"""""БОЕВОЕ БРАТСТВО""""""""",151256,135704,11892,11010764,7799326
"10715","Красноярская региональная общественная организация содействия предоставлению медицинской помощи людям с ограниченными физическими возможностями """"""""Подари улыбку""""""""",4783,773,0,3529782,895500
"10754","Межрегиональная молодежная общественная организация """"""""Инклюзивный Ресурсный центр""""""""",999,999,999,4475088,1246800
"10755","Межрегиональная молодежная общественная организация """"""""Инклюзивный Ресурсный центр""""""""",999,999,999,5491904,1039440
"10772","Межрегиональная молодежная общественная организация """"""""Содружество""""""""",999,999,999,3750230,4516900
"10790","Общественная организация - Всероссийское общество изобретателей и рационализаторов",999,999,999,9423200,8351420
"10791","Региональная общественная организация """"""""Нижегородский центр поддержки и развития музеев""""""""",999,999,999,5826920,1132000
"10816","Региональная общественная организация поддержки социальной деятельности Русской Православной Церкви """"""""Милосердие""""""""",999,999,999,4097926,2363910
"10936","Общероссийская общественная организация """"""""Зеленый патруль""""""""",999,999,999,6980996,1642000
"10970","Межрегиональная общественная организация """"""""Межрегиональная Тьюторская Ассоциация""""""""",999,999,999,5343238,1041760
"10979","Региональная общественная организация инвалидов """"""""Творческое партнерство""""""""",999,999,999,3273550,880000
"11022","Общероссийская общественная организация """"""""Зеленый патруль""""""""",999,999,999,6980996,1642000
"11056","Межрегиональная общественная организация """"""""Межрегиональная Тьюторская Ассоциация""""""""",999,999,999,5343238,1041760
"11065","Региональная общественная организация инвалидов """"""""Творческое партнерство""""""""",999,999,999,3273550,880000
"27","Автономная некоммерческая организация дополнительного профессионального образования и консалтинга """"""""Развитие""""""""",12052,49,0,9682720,4457500
"561","Автономная некоммерческая организация """"""""Центр внешнеполитического сотрудничества имени Е.М. Примакова""""""""",0,9486,0,4918620,3163000
"199","Автономная некоммерческая организация дополнительного образования и социального обслуживания """"""""Новые перспективы""""""""",8490,9141,108,9519309,6331235.6
"207","Автономная некоммерческая орагнизация содействия развитию театральных проектов неслышащих актеров """"""""НЕДОСЛОВ""""""""",123,7412,1864,5258736,1025000
"394","Автономная некоммерческая организация """"""""Центр поддержки и развития современного искусства """"""""ЗА АРТ""""""""",0,19154,38092,4947348,1881329
"461","Автономная некоммерческая организация """"""""Консультационно-исследовательский центр управленческих технологий """"""""ЦСА""""""""",1682,3450,0,9945630,2080000
"791","Автономная некоммерческая организация """"""""РОСТ - развитие, образование, социализация и трудоустройство для воспитанников и выпускников детских домов и интернатов и детей, оставшихся без попечения родителей""""""""",4466,4828,0,3812790,3815517
"806","Автономная некоммерческая организация """"""""Образовательная организация высшего образования """"""""Институт театрального искусства""""""""",7777,0,73443,7885592.8,2050347.7
"909","Автономная некоммерческая организация """"""""Межрегиональная школьная баскетбольная лига""""""""",6000,0,64526,7019200,49083659
"1087","Автономная некоммерческая орагнизация """""""" Центр православных молодежных программ во имя святого Георгия Победоносца""""""""",1262,6644,0,5893310,527000
"1105","Автономная некоммерческая организация дополнительного профессионального образования """"""""Институт развития семейного устройства""""""""",4140,5766,197,4082254,8e+05
"1187","Автономная некоммерческая организация """"""""Центр социально-трудовых прав""""""""",0,6136,148,6157600,310000
"1243","Автономная некоммерческая организация помощи детям """"""""Звездный дождь""""""""",5351,1105,2161,4599890.8,1343448
"1251","Автономная некоммерческая дошкольная образовательная организация """"""""Центр инклюзивного образования и социальной адаптации """"""""Счастье""""""""",6126,0,1004,4125240.9,6085429
"1256","Автономная некоммерческая организация «Центр социальной поддержки «Инклюзивная молекула»",203,5831,13560,4183641.3,879800
